PLAYER_ID,SEASON,GAME_ID,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,STL,BLK,TOV,STOV,TEAM_POSS,PLAYER_POSS,OPP_TS,OPP_ADJ_TS,OPP_TSC,OPP_STOV,DRTG,ADJ_DRTG,LA_PACE,rDRTG,rADJ_DRTG
977,2003,0040200223,39.0,10,23,2,4,17,19,4,4,1,0,4,3,86.2464,83.3664,0.4962985183,0.4962042066,0.445739138,0.1134281827,98.1,98.0,90.59,-4.05862069,-4.317241379
977,2003,0040200224,35.0,10,24,1,4,14,17,7,3,2,1,2,2,87.16799999999999,73.11359999999999,0.4962985183,0.4962042066,0.445739138,0.1134281827,98.1,98.0,90.59,-4.05862069,-4.317241379
977,2003,0040200225,36.0,15,31,5,11,1,2,7,6,2,0,4,2,87.8208,87.8208,0.4962985183,0.4962042066,0.445739138,0.1134281827,98.1,98.0,90.59,-4.05862069,-4.317241379
977,2003,0040200226,20.0,9,19,2,5,0,2,2,6,1,0,7,2,81.3312,77.49119999999999,0.4962985183,0.4962042066,0.445739138,0.1134281827,98.1,98.0,90.59,-4.05862069,-4.317241379
201935,2018,0041700141,44.0,15,26,7,12,7,9,4,8,2,0,3,0,93.2352,77.1456,0.5725334916,0.5737812468,0.5179263634,0.1054341544,110.2,110.2,94.99,2.36,2.415
201935,2018,0041700142,12.0,2,18,1,10,7,8,4,7,3,3,3,3,94.3104,66.7008,0.5725334916,0.5737812468,0.5179263634,0.1054341544,110.2,110.2,94.99,2.36,2.415
201935,2018,0041700143,29.0,9,21,3,8,8,10,7,7,1,0,4,2,90.3552,69.2352,0.5725334916,0.5737812468,0.5179263634,0.1054341544,110.2,110.2,94.99,2.36,2.415
201935,2018,0041700144,36.0,12,26,5,11,7,7,4,3,4,1,1,0,91.7376,64.2432,0.5725334916,0.5737812468,0.5179263634,0.1054341544,110.2,110.2,94.99,2.36,2.415
201935,2018,0041700145,24.0,8,21,4,11,4,4,5,12,2,2,3,1,87.70559999999999,69.1584,0.5725334916,0.5737812468,0.5179263634,0.1054341544,110.2,110.2,94.99,2.36,2.415
201935,2018,0041700221,41.0,12,26,7,12,10,11,8,7,1,0,3,2,93.6576,71.3856,0.5426741966,0.5410223559,0.4943124185,0.09783646198,103.0,102.8,94.99,-4.84,-4.985
201935,2018,0041700222,32.0,9,22,2,10,12,13,6,11,2,0,2,1,99.7248,74.5728,0.5426741966,0.5410223559,0.4943124185,0.09783646198,103.0,102.8,94.99,-4.84,-4.985
201935,2018,0041700223,25.0,8,17,2,8,7,7,4,12,2,1,1,0,88.128,62.5536,0.5426741966,0.5410223559,0.4943124185,0.09783646198,103.0,102.8,94.99,-4.84,-4.985
201935,2018,0041700224,24.0,8,22,1,7,7,8,4,3,4,0,8,2,97.4208,75.9936,0.5426741966,0.5410223559,0.4943124185,0.09783646198,103.0,102.8,94.99,-4.84,-4.985
201935,2018,0041700225,18.0,7,22,1,7,3,4,4,4,2,0,3,0,89.74080000000001,66.39359999999999,0.5426741966,0.5410223559,0.4943124185,0.09783646198,103.0,102.8,94.99,-4.84,-4.985
201935,2018,0041700311,41.0,14,24,5,9,8,10,4,7,1,0,4,1,97.1904,70.9632,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2018,0041700312,27.0,9,24,3,15,6,6,10,3,1,0,4,3,93.9648,73.53599999999999,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2018,0041700313,20.0,7,16,2,6,4,5,5,9,1,1,4,3,82.29119999999999,62.6688,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2018,0041700314,30.0,11,26,3,12,5,5,4,4,4,2,2,1,89.16479999999999,80.2176,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2018,0041700315,19.0,5,21,0,11,9,9,3,4,2,0,6,4,90.3168,75.4176,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2018,0041700316,32.0,10,24,4,12,8,9,7,9,3,0,9,4,87.93599999999999,81.216,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2018,0041700317,32.0,12,29,2,13,6,8,6,6,4,1,5,1,91.8528,83.2128,0.5390772934,0.537037334,0.4941646632,0.09088596075,106.8,106.4,94.99,-1.04,-1.385
201935,2019,0041800171,29.0,11,26,4,10,3,3,8,10,0,1,3,2,92.544,68.7744,0.5419209702,0.5412314754,0.4999037986,0.08405051473,105.3,105.2,96.97,-4.43,-4.681666667
201935,2019,0041800172,32.0,11,24,6,13,4,5,13,10,0,1,8,1,91.50719999999998,69.4656,0.5419209702,0.5412314754,0.4999037986,0.08405051473,105.3,105.2,96.97,-4.43,-4.681666667
201935,2019,0041800173,22.0,3,20,2,13,14,16,4,10,6,1,4,2,101.7216,82.752,0.5419209702,0.5412314754,0.4999037986,0.08405051473,105.3,105.2,96.97,-4.43,-4.681666667
201935,2019,0041800174,30.0,8,19,6,12,8,8,3,4,2,0,8,6,94.6176,75.7632,0.5419209702,0.5412314754,0.4999037986,0.08405051473,105.3,105.2,96.97,-4.43,-4.681666667
201935,2019,0041800175,26.0,10,26,3,12,3,5,6,6,3,4,5,2,97.6128,79.488,0.5419209702,0.5412314754,0.4999037986,0.08405051473,105.3,105.2,96.97,-4.43,-4.681666667
201935,2019,0041800221,35.0,9,28,4,16,13,14,4,6,3,0,4,3,93.8496,75.72479999999999,0.5464166571,0.5478637534,0.5033512597,0.08555734499,108.6,108.7,96.97,-1.13,-1.181666667
201935,2019,0041800222,29.0,9,19,3,7,8,9,6,4,1,0,6,2,93.12,66.24,0.5464166571,0.5478637534,0.5033512597,0.08555734499,108.6,108.7,96.97,-1.13,-1.181666667
201935,2019,0041800223,41.0,14,32,5,13,8,8,9,6,1,0,3,0,98.3424,84.71039999999999,0.5464166571,0.5478637534,0.5033512597,0.08555734499,108.6,108.7,96.97,-1.13,-1.181666667
201935,2019,0041800224,38.0,13,29,6,17,6,8,10,4,0,2,2,1,95.5776,81.2928,0.5464166571,0.5478637534,0.5033512597,0.08555734499,108.6,108.7,96.97,-1.13,-1.181666667
201935,2019,0041800225,31.0,10,16,3,9,8,10,4,8,4,1,2,1,92.6976,88.8576,0.5464166571,0.5478637534,0.5033512597,0.08555734499,108.6,108.7,96.97,-1.13,-1.181666667
201935,2019,0041800226,35.0,11,25,6,15,7,12,8,5,4,0,7,2,96.4608,82.0608,0.5464166571,0.5478637534,0.5033512597,0.08555734499,108.6,108.7,96.97,-1.13,-1.181666667
201935,2020,0041900171,37.0,12,22,6,13,7,8,11,3,0,0,3,1,92.5056,70.11840000000001,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900172,21.0,5,16,2,11,9,9,5,9,3,1,0,0,92.0832,71.19359999999999,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900173,38.0,12,27,3,13,11,15,7,8,1,0,1,0,109.5552,80.0256,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900174,32.0,11,25,6,15,4,5,8,15,4,0,6,4,97.344,88.2816,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900175,31.0,11,15,4,8,5,6,2,3,1,1,3,2,87.5136,56.7936,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900176,32.0,11,22,3,11,7,8,8,7,0,0,5,3,102.9888,82.4064,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900177,17.0,4,15,1,9,8,9,3,9,2,3,4,2,95.3856,75.2256,0.5518468881,0.5542496676,0.5011220204,0.1012225879,108.1,108.55,96.97,-2.053333333,-1.681666667
201935,2020,0041900221,36.0,12,20,3,6,9,12,2,5,2,1,5,1,96.96,71.9232,0.5536447981,0.5514733173,0.500102075,0.1070635891,106.1,105.6,96.97,-4.053333333,-4.631666667
201935,2020,0041900222,27.0,6,12,4,8,11,13,2,7,2,0,5,3,93.2352,73.61280000000001,0.5536447981,0.5514733173,0.500102075,0.1070635891,106.1,105.6,96.97,-4.053333333,-4.631666667
201935,2020,0041900223,33.0,11,23,4,9,7,7,9,9,0,0,2,0,87.5136,70.3488,0.5536447981,0.5514733173,0.500102075,0.1070635891,106.1,105.6,96.97,-4.053333333,-4.631666667
201935,2020,0041900224,21.0,2,11,1,6,16,20,4,10,2,3,5,2,93.2736,77.2992,0.5536447981,0.5514733173,0.500102075,0.1070635891,106.1,105.6,96.97,-4.053333333,-4.631666667
201935,2020,0041900225,30.0,12,20,2,8,4,4,6,5,1,1,6,3,88.2432,86.3232,0.5536447981,0.5514733173,0.500102075,0.1070635891,106.1,105.6,96.97,-4.053333333,-4.631666667
947,2001,0040000004,16.0,7,19,0,4,2,3,5,7,2,1,2,2,83.8656,75.2256,0.5007240653,0.5020796332,0.4522054453,0.1072933123,100.5,101.1,89.66,-1.044827586,-0.5310344828
947,2001,0040000011,45.0,15,27,3,7,12,14,3,9,2,0,4,2,89.35679999999999,89.35679999999999,0.5007240653,0.5020796332,0.4522054453,0.1072933123,100.5,101.1,89.66,-1.044827586,-0.5310344828
947,2001,0040000021,32.0,11,28,0,2,10,14,7,6,2,0,2,1,87.0144,87.0144,0.5007240653,0.5020796332,0.4522054453,0.1072933123,100.5,101.1,89.66,-1.044827586,-0.5310344828
